	cl
cell-1	1
cell-2	1
cell-3	1
cell-4	1
cell-5	1
cell-6	1
cell-7	1
cell-8	1
cell-9	1
cell-10	1
cell-11	1
cell-12	1
cell-13	1
cell-14	1
cell-15	1
cell-16	1
cell-17	1
cell-18	1
cell-19	1
cell-20	1
cell-21	1
cell-22	1
cell-23	1
cell-24	1
cell-25	1
cell-26	1
cell-27	1
cell-28	1
cell-29	1
cell-30	1
cell-31	1
cell-32	1
cell-33	2
cell-34	2
cell-35	2
cell-36	2
cell-37	1
cell-38	2
cell-39	2
cell-40	1
cell-41	1
cell-42	2
cell-43	1
cell-44	2
cell-45	2
cell-46	2
cell-47	2
cell-48	2
cell-49	2
cell-50	2
cell-51	2
cell-52	2
cell-53	2
cell-54	3
cell-55	2
cell-56	3
cell-57	2
cell-58	3
cell-59	3
cell-60	3
cell-61	3
cell-62	3
cell-63	3
cell-64	3
cell-65	3
cell-66	3
cell-67	3
cell-68	3
cell-69	5
cell-70	5
cell-71	5
cell-72	5
cell-73	5
cell-74	5
cell-75	5
cell-76	5
cell-77	5
cell-78	5
cell-79	5
cell-80	5
cell-81	5
cell-82	5
cell-83	5
cell-84	5
cell-85	5
cell-86	5
cell-87	5
cell-88	5
cell-89	5
cell-90	5
cell-91	2
cell-92	2
cell-93	2
cell-94	2
cell-95	2
cell-96	2
cell-97	2
cell-98	2
cell-99	2
cell-100	2
cell-101	2
cell-102	2
cell-103	2
cell-104	2
cell-105	2
cell-106	2
cell-107	3
cell-108	2
cell-109	3
cell-110	3
cell-111	3
cell-112	3
cell-113	3
cell-114	3
cell-115	3
cell-116	3
cell-117	3
cell-118	3
cell-119	4
cell-120	4
cell-121	4
cell-122	4
cell-123	4
cell-124	4
cell-125	4
cell-126	4
cell-127	4
cell-128	4
cell-129	4
cell-130	4
cell-131	4
cell-132	4
cell-133	4
cell-134	4
cell-135	4
cell-136	4
cell-137	4
cell-138	4
cell-139	4
cell-140	4
